old	new	colVec	type
V25	EN01	#511293	Excite-NEURON
V17	EN02	#581F99	Excite-NEURON
V21	EN03	#5F2D9F	Excite-NEURON
V13	EN04	#653BA5	Excite-NEURON
V16	EN05	#6D49AB	Excite-NEURON
V20	EN06	#7357B2	Excite-NEURON
V18	EN07	#7A64B8	Excite-NEURON
V3	EN08	#8172BE	Excite-NEURON
V22	EN09	#8880C4	Excite-NEURON
V8	EN10	#8F8DCB	Excite-NEURON
V15	EN11	#969BD1	Excite-NEURON
V23	EN12	#9DA8D7	Excite-NEURON
V19	EN13	#A4B6DE	Excite-NEURON
V7	EN14	#ABC4E4	Excite-NEURON
V10	EN15	#B2D2EA	Excite-NEURON
V2	EN16	#B8E0F0	Excite-NEURON
V4	EN17	#C0EEF7	Excite-NEURON
V12	IN01	#A50F15	Inhibit-NEURON
V14	IN02	#CB181D	Inhibit-NEURON
V11	IN03	#EF3B2C	Inhibit-NEURON
V5	IN04	#FB6A4A	Inhibit-NEURON
V9	IN05	#FC9272	Inhibit-NEURON
V26	MG1	#FAD510	MICROGLIA
V27	E1	#CD8500	ENDOTHELIAL
V6	A1	#006400	ASTROCYTE
V1	OG1	#1C86EE	OLIGODENDROCYTE
V24	P1	#094078	POLYDENDROCYTE